epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,39844.1,1.0309,0.51036,0.88577,0.96503,0.94283,0.96477,0.67657,0.95498,0.48798,0.87322,0.0006734,0.0006734,0.0006734
69,40139.6,0.9968,0.4976,0.87151,0.96357,0.94746,0.96399,0.68991,0.94875,0.47829,0.86786,0.0006536,0.0006536,0.0006536
70,40434,1.01247,0.49989,0.87104,0.96316,0.94659,0.9641,0.68228,0.95247,0.4826,0.86945,0.0006338,0.0006338,0.0006338
71,40779.3,1.01801,0.49936,0.87755,0.96361,0.94349,0.96466,0.66415,1.00443,0.48999,0.87249,0.000614,0.000614,0.000614
72,41209.7,1.05274,0.5085,0.87642,0.96174,0.94563,0.96457,0.66847,0.9993,0.49508,0.86979,0.0005942,0.0005942,0.0005942
73,41643.7,1.0378,0.50546,0.87665,0.96618,0.94541,0.96505,0.68696,0.92729,0.47052,0.86852,0.0005744,0.0005744,0.0005744
74,42011.7,0.98677,0.48561,0.86745,0.96557,0.94515,0.96418,0.69265,0.92575,0.4689,0.86652,0.0005546,0.0005546,0.0005546
75,42289.4,0.9889,0.48893,0.87091,0.96474,0.94488,0.96343,0.68473,0.95309,0.47514,0.8665,0.0005348,0.0005348,0.0005348
76,42562.9,0.99639,0.48879,0.86653,0.96399,0.94563,0.96428,0.69286,0.92353,0.46529,0.86554,0.000515,0.000515,0.000515
77,42840.7,1.00129,0.4894,0.8675,0.96808,0.94537,0.9658,0.69043,0.93537,0.46795,0.86324,0.0004952,0.0004952,0.0004952
78,43119.3,0.98706,0.48288,0.86852,0.96752,0.94443,0.96557,0.69507,0.92679,0.46199,0.86437,0.0004754,0.0004754,0.0004754
79,43396.6,0.96013,0.47243,0.86209,0.96647,0.94654,0.96547,0.69139,0.92464,0.46052,0.86611,0.0004556,0.0004556,0.0004556
80,43673.7,0.98048,0.48075,0.86914,0.9659,0.94568,0.96515,0.69196,0.93448,0.46581,0.86638,0.0004358,0.0004358,0.0004358
81,43937.3,0.97996,0.47701,0.86537,0.96555,0.94417,0.96235,0.67615,0.97622,0.47703,0.86799,0.000416,0.000416,0.000416
82,44197.4,0.96882,0.47767,0.86571,0.96604,0.94515,0.96629,0.69015,0.93743,0.46876,0.8641,0.0003962,0.0003962,0.0003962
83,44456.2,0.959,0.47625,0.86433,0.96811,0.94459,0.96535,0.69589,0.91443,0.4635,0.86468,0.0003764,0.0003764,0.0003764
84,44716.4,0.96278,0.47185,0.86381,0.96614,0.94718,0.96552,0.69519,0.91444,0.45888,0.86338,0.0003566,0.0003566,0.0003566
85,44973.1,0.96233,0.47321,0.86396,0.96785,0.94835,0.96594,0.6948,0.92723,0.46182,0.86289,0.0003368,0.0003368,0.0003368
86,45230.4,0.97326,0.47877,0.8647,0.96654,0.94832,0.96522,0.69725,0.90913,0.45739,0.86129,0.000317,0.000317,0.000317
87,45482.7,0.95962,0.47129,0.86593,0.96458,0.94776,0.96499,0.69929,0.9208,0.46031,0.86291,0.0002972,0.0002972,0.0002972
88,46187,0.97082,0.47388,0.86478,0.96726,0.94785,0.96508,0.69303,0.91427,0.45611,0.86353,0.0002774,0.0002774,0.0002774
89,46960.2,0.94367,0.46335,0.86082,0.9651,0.9492,0.96476,0.69614,0.91959,0.45747,0.86216,0.0002576,0.0002576,0.0002576
90,47692.8,0.95094,0.4681,0.86387,0.96538,0.94964,0.9655,0.69889,0.91393,0.45698,0.86173,0.0002378,0.0002378,0.0002378
91,48528.8,0.94375,0.47663,0.8671,0.9627,0.94533,0.96396,0.69112,0.92794,0.46502,0.86571,0.000218,0.000218,0.000218
92,49186.1,0.93257,0.46971,0.86622,0.96493,0.94726,0.96482,0.6905,0.9265,0.46498,0.8652,0.0001982,0.0001982,0.0001982
93,49800,0.91913,0.45994,0.85947,0.96595,0.94921,0.96525,0.6885,0.92832,0.46169,0.86379,0.0001784,0.0001784,0.0001784
94,50058.7,0.92002,0.45956,0.86124,0.96777,0.94777,0.96523,0.69521,0.9188,0.45963,0.86256,0.0001586,0.0001586,0.0001586
95,50334.2,0.91131,0.45641,0.85888,0.96769,0.94846,0.96577,0.69443,0.91561,0.45541,0.86206,0.0001388,0.0001388,0.0001388
96,50859.7,0.90661,0.4523,0.85927,0.96582,0.94721,0.9654,0.69437,0.92071,0.45751,0.86273,0.000119,0.000119,0.000119
97,51540.6,0.91028,0.45637,0.85926,0.96736,0.946,0.96561,0.69252,0.92608,0.45851,0.86401,9.92e-05,9.92e-05,9.92e-05
98,52128.6,0.9085,0.45439,0.85741,0.9677,0.94686,0.9658,0.69831,0.91236,0.4514,0.86194,7.94e-05,7.94e-05,7.94e-05
99,52484.8,0.89636,0.44601,0.85979,0.96851,0.94712,0.96608,0.6994,0.90919,0.44756,0.86157,5.96e-05,5.96e-05,5.96e-05
100,52868.5,0.90344,0.44763,0.85921,0.97002,0.94623,0.96586,0.69823,0.90747,0.44802,0.86178,3.98e-05,3.98e-05,3.98e-05
